"Agent_ID","Cluster","Team_Size","Sprint_Length_Weeks","Commit_Frequency_Per_Day","Security_Debt","Vulnerabilities_Open","Automated_Scan_Coverage"
1,"Cluster 2",-0.197399961573898,-1.41052157418532,0.172201271967936,-0.233924591090896,-0.352752765405741,-0.19775557472376
2,"Cluster 3",1.5272557473807,-0.0629330673254363,-1.63866975531054,1.16505186248833,1.22303623198498,-1.13636586348492
3,"Cluster 1",-1.02778974736685,-0.0629330673254363,1.58065651540675,-1.04549562727453,-1.02809090714462,0.851279453891651
4,"Cluster 3",1.39950347264332,-0.0629330673254363,-1.03504607955105,1.37503557478161,1.33559258894147,-1.35721534319342
5,"Cluster 3",1.71888415948677,-0.0629330673254363,-1.43746186339071,1.38144030674699,1.1104798750285,-1.02594112363066
6,"Cluster 2",0.058104587900858,-1.41052157418532,-0.230214511871725,0.378184792456849,0.210029019376661,-0.529029794286521
7,"Cluster 1",-0.900037472629475,-0.0629330673254363,0.574617055807596,-1.24404231820108,-1.47831633497055,1.73467737272568
8,"Cluster 3",1.65500802211808,-0.0629330673254363,-1.03504607955105,1.73095567971446,1.44814894589795,-1.74370193268331
9,"Cluster 1",-1.09166588473554,-0.0629330673254363,1.37944862348692,-1.23352025854368,-1.47831633497055,1.45861552309005
10,"Cluster 1",-0.836161335260786,2.63224394639433,1.37944862348692,-1.4338968728889,-1.36575997801407,1.23776604338154
11,"Cluster 3",1.71888415948677,-0.0629330673254363,-0.833838187631215,1.19661804146052,1.44814894589795,-0.694666904067902
12,"Cluster 1",-1.28329429684161,-0.0629330673254363,0.977032839647257,-1.11915004487631,-0.802978193231663,0.906491823818778
13,"Cluster 1",-1.21941815947292,1.28465543953445,0.775824947727427,-0.946222281811254,-0.915534550188143,0.575217604256017
14,"Cluster 1",-1.02778974736685,-0.0629330673254363,1.37944862348692,-0.958574264887329,-1.02809090714462,0.961704193745905
15,"Cluster 2",0.121980725269547,-1.41052157418532,-0.632630295711385,-0.361104268689007,-0.240196408449261,0.243943384693255
16,"Cluster 3",1.78276029685546,-0.0629330673254363,-1.23625397147088,1.59599882758697,1.78581801676739,-1.52285245297481
17,"Cluster 2",-0.133523824205209,-1.41052157418532,-0.632630295711385,0.0108276661572683,-0.12764005149278,-0.308180314578014
18,"Cluster 2",-0.133523824205209,-1.41052157418532,-0.632630295711385,0.143497114011413,0.0974726624201804,-0.473817424359394
19,"Cluster 2",-0.580656785786031,-0.0629330673254363,0.172201271967936,0.166371156744887,0.322585376333141,-0.0321184649423791
20,"Cluster 3",1.33562733527464,1.28465543953445,-1.63866975531054,1.37640801734562,1.1104798750285,-0.805091643922156
21,"Cluster 3",1.71888415948677,-0.0629330673254363,-1.23625397147088,1.40385686862579,1.22303623198498,-1.13636586348492
